date,high,low,close
4/27/2015,"1,720.02","1,697.81","1,719.93"
3/20/2015,"1,710.92","1,696.48","1,710.87"
4/15/2015,"1,714.62","1,699.48","1,710.61"
3/19/2015,"1,719.44","1,699.31","1,707.50"
4/22/2015,"1,713.48","1,685.60","1,706.25"
3/18/2015,"1,710.17","1,674.25","1,703.96"
4/14/2015,"1,709.01","1,694.98","1,701.39"
3/24/2015,"1,704.05","1,691.96","1,701.29"
4/13/2015,"1,701.08","1,688.61","1,700.36"
4/10/2015,"1,699.98","1,692.54","1,699.96"
4/24/2015,"1,700.23","1,689.89","1,698.51"
3/23/2015,"1,708.57","1,695.37","1,698.38"
4/7/2015,"1,700.63","1,687.96","1,697.43"
4/9/2015,"1,695.94","1,687.16","1,695.94"
4/21/2015,"1,697.50","1,679.36","1,694.73"
3/25/2015,"1,705.56","1,688.99","1,694.39"
4/29/2019,"1,694.19","1,684.32","1,693.31"
2/27/2015,"1,695.37","1,679.21","1,691.03"
4/16/2015,"1,710.83","1,690.93","1,690.93"
4/23/2015,"1,716.89","1,681.26","1,689.77"
3/16/2015,"1,690.27","1,671.06","1,689.67"
4/25/2019,"1,700.35","1,668.43","1,689.42"
4/26/2019,"1,693.05","1,680.91","1,689.04"
3/30/2015,"1,687.17","1,669.52","1,687.17"
4/8/2015,"1,701.58","1,686.26","1,686.77"
3/2/2015,"1,701.07","1,675.98","1,686.64"
2/26/2015,"1,686.05","1,678.20","1,684.83"
2/24/2015,"1,685.65","1,666.93","1,683.92"
4/24/2019,"1,686.40","1,670.41","1,680.72"
4/28/2015,"1,715.90","1,671.51","1,679.52"
2/23/2015,"1,679.49","1,667.68","1,679.48"
2/25/2015,"1,685.67","1,675.38","1,678.73"
4/20/2015,"1,678.39","1,658.88","1,678.28"
11/3/2017,"1,678.45","1,672.78","1,677.65"
8/29/2018,"1,679.51","1,669.77","1,677.22"
9/27/2018,"1,676.89","1,649.48","1,676.37"
4/30/2019,"1,691.43","1,675.97","1,676.14"
11/6/2017,"1,681.75","1,671.60","1,676.14"
3/17/2015,"1,691.64","1,666.74","1,675.88"
3/26/2015,"1,675.94","1,654.04","1,675.61"
4/2/2015,"1,675.57","1,668.86","1,675.52"
11/2/2017,"1,674.77","1,665.42","1,672.78"
8/30/2018,"1,678.05","1,670.06","1,672.56"
5/3/2019,"1,676.90","1,664.05","1,672.33"
4/23/2019,"1,673.80","1,661.39","1,672.18"
11/1/2017,"1,681.13","1,671.32","1,672.03"
10/31/2017,"1,675.61","1,662.32","1,671.63"
8/28/2018,"1,671.44","1,665.73","1,671.15"
4/18/2019,"1,673.03","1,654.55","1,670.74"
11/7/2017,"1,681.67","1,669.98","1,670.24"
3/5/2015,"1,678.54","1,669.11","1,669.56"
4/1/2015,"1,677.66","1,654.99","1,669.49"
