date,high,low,close,buy,actual P&L
2007-09-03,1222.75,1213.11,1222.31,,
2007-09-04,1226.6,1210.38,1226.08,,
2007-09-05,1228.6,1197.64,1197.64,,
2007-09-06,1207.81,1184.91,1190.67,,
2007-09-07,1193.23,1154.79,1159.95,,
2007-09-10,1168.96,1143.45,1147.2,0.0,0.0
2007-09-11,1173.97,1148.29,1172.42,0.0,0.0
2007-09-12,1180.6,1162.61,1180.6,1.0,24.210000000000036
2007-09-13,1198.78,1170.84,1196.63,1.0,-0.8399999999999181
2007-09-14,1196.14,1173.39,1179.76,1.0,-35.88000000000011
2007-09-17,1179.64,1154.74,1160.75,0.0,0.0
2007-09-18,1180.61,1155.17,1178.97,0.0,0.0
2007-09-19,1222.11,1181.89,1221.77,1.0,29.34999999999991
2007-09-20,1220.31,1200.27,1208.32,1.0,-9.230000000000018
2007-09-21,1215.84,1203.42,1212.54,1.0,-9.819999999999936
2007-09-24,1212.75,1198.5,1198.5,0.0,0.0
2007-09-25,1198.25,1177.03,1184.49,0.0,0.0
2007-09-26,1199.1,1185.43,1196.66,0.0,0.0
2007-09-27,1224.54,1197.76,1217.24,1.0,24.87999999999988
2007-09-28,1221.54,1211.8,1221.54,1.0,12.059999999999945
2007-10-01,1230.72,1211.09,1229.3,1.0,14.329999999999927
2007-10-02,1245.63,1230.39,1235.87,1.0,12.470000000000027
2007-10-03,1245.28,1232.7,1241.77,1.0,7.770000000000209
2007-10-04,1245.88,1230.56,1243.64,1.0,10.908920432586683
2007-10-05,1260.6,1239.56,1257.7,1.0,8.149999999999864
2007-10-08,1262.06,1248.32,1251.79,1.0,0.8899999999998727
2007-10-09,1258.91,1245.47,1258.59,1.0,8.610000000000127
2007-10-10,1263.76,1255.66,1260.4,0.0,0.0
2007-10-11,1274.45,1258.72,1267.7,1.0,-0.10000000000013642
2007-10-12,1266.11,1248.22,1260.3,0.0,0.0
2007-10-15,1261.72,1245.47,1249.65,0.0,0.0
2007-10-16,1211.68,1192.43,1203.95,0.0,0.0
2007-10-17,1213.86,1198.45,1206.86,0.0,0.0
2007-10-18,1210.03,1183.43,1187.36,0.0,0.0
2007-10-19,1187.06,1167.55,1169.69,0.0,0.0
2007-10-22,1167.98,1137.67,1145.87,0.0,0.0
2007-10-23,1179.08,1147.63,1175.39,0.0,0.0
2007-10-24,1183.2,1154.32,1158.83,0.0,0.0
2007-10-25,1179.85,1159.95,1172.48,1.0,14.480000000000018
2007-10-26,1181.42,1157.97,1173.31,0.0,0.0
2007-10-29,1183.87,1172.61,1176.62,1.0,-2.9600000000000364
2007-10-30,1175.8,1164.1,1170.35,0.0,0.0
2007-10-31,1183.95,1162.87,1183.2,,
2007-11-01,1187.42,1156.6,1168.49,0.0,0.0
2007-11-02,1167.51,1148.13,1153.22,0.0,0.0
2007-11-05,1159.15,1143.66,1157.55,0.0,0.0
2007-11-06,1171.86,1159.83,1163.21,0.0,0.0
2007-11-07,1171.22,1143.2,1150.38,0.0,0.0
2007-11-08,1151.7,1128.82,1145.49,0.0,0.0
2007-11-09,1152.84,1111.55,1115.09,0.0,0.0
